spec_id,approach,flow_correctness,target_correctness,assertion_correctness,graph_adherence,practical_robustness,overall_usefulness,total,failure_classification,justification
fluxo_computadores_desktops,baseline,1,1,1,1,1,1,6,generated_test_failure,"Rota correta, mas inventa .digital-item e usa capitalização incorreta no título."
suite_adicionar_carrinho,baseline,2,0,1,0,0,0,3,generated_test_failure,"Representa a sequência pedida, porém usa domínio e seletores data-test inventados."
suite_adicionar_wishlist,baseline,2,0,1,0,0,0,3,generated_test_failure,"Representa a sequência, mas inventa autenticação, dashboard, rotas e seletores."
suite_busca_blue_jeans,baseline,2,0,1,0,0,0,3,generated_test_failure,"Fluxo conceitual completo em domínio e elementos inexistentes."
suite_checkout_blue_jeans,baseline,1,0,0,0,0,0,1,generated_test_failure,"Fluxo de checkout incompleto, domínio e controles inventados e asserções web não aguardadas."
suite_configurar_desktop,baseline,2,1,1,1,0,0,5,generated_test_failure,"Segue o fluxo, mas inventa controles de configuração e regiões de confirmação/carrinho."
suite_detalhes_fiction,baseline,2,0,1,0,0,0,3,generated_test_failure,"Intenção correta em domínio, rota e seletores inexistentes."
suite_limpar_carrinho,baseline,2,0,1,0,0,0,3,generated_test_failure,"Sequência correta, mas rota de preparação e todos os controles principais são inventados."
suite_limpar_wishlist,baseline,2,0,1,0,0,0,3,generated_test_failure,"Sequência correta, porém depende de função indefinida e inventa rota e controles."
suite_login_invalido,baseline,2,1,2,2,1,1,9,generated_test_failure,"Campos e oráculo são adequados; botão de login não existe e o email não vem do ambiente."
suite_login_valido,baseline,2,1,1,2,1,1,8,generated_test_failure,"Usa credenciais do ambiente e campos corretos; botão submit e id de logout estão errados."
suite_logout,baseline,2,0,1,0,0,0,3,generated_test_failure,"Representa login e logout, mas toda a interface assumida é de outra aplicação."
suite_registro_usuario,baseline,1,1,1,2,1,1,7,generated_test_failure,"Registro inicial é quase correto, mas troca Continue por Log out e tenta relogar na página errada."
user_registration_book_purchase,baseline,2,1,0,2,0,0,5,generated_test_failure,"Cobre o fluxo nominal, mas usa submit incorreto, expectativa de rota falsa e duas asserções vazias."
fluxo_computadores_desktops,structured_context,1,1,1,2,1,1,7,generated_test_failure,"Usa rota e texto reais, mas o link é ambíguo e não verifica os itens digitais pedidos."
suite_adicionar_carrinho,structured_context,2,1,1,2,0,1,7,generated_test_failure,"Usa rota e ids reais, mas copia role_name e page.getByRole como CSS e não valida a notificação."
suite_adicionar_wishlist,structured_context,1,1,1,2,0,0,5,generated_test_failure,"O contexto melhora alvos, mas autenticação e notificação são omitidas e dois seletores são inválidos."
suite_busca_blue_jeans,structured_context,1,1,2,2,0,1,7,generated_test_failure,"Oráculo final é adequado; interpreta Search como role e espera a página do produto antes de clicar no resultado."
suite_checkout_blue_jeans,structured_context,1,1,2,2,0,0,6,generated_test_failure,"Preserva etapas e oráculo, mas omite autenticação, copia seletores inválidos e inventa controles do checkout."
suite_configurar_desktop,structured_context,2,1,1,2,0,1,7,generated_test_failure,"Navegação é fundamentada; ids, tipos e valores dos atributos configuráveis estão errados."
suite_detalhes_fiction,structured_context,1,1,2,2,0,1,7,generated_test_failure,"Nome e preço são verificados, porém Search é tratado como role e o resultado nunca é aberto."
suite_limpar_carrinho,structured_context,2,1,1,2,1,1,8,generated_test_failure,"Preparação e navegação são boas; seletor de remoção e região de carrinho vazio estão errados."
suite_limpar_wishlist,structured_context,0,0,1,2,1,0,4,generated_test_failure,"Omite autenticação e preparação, tenta clicar no nome em vez de marcar remoção e parte de wishlist vazia."
suite_login_invalido,structured_context,2,1,1,2,1,2,9,generated_test_failure,"Fluxo e botão funcionam; o id da mensagem foi inventado e as expectativas de URL não são aguardadas."
suite_login_valido,structured_context,2,1,0,2,1,1,7,generated_test_failure,"Autenticação funciona, mas espera rota de gerenciamento inexistente e texto de conta de usuário desautenticado."
suite_logout,structured_context,0,0,1,1,0,0,2,generated_test_failure,"Ignora a pré-condição autenticada e procura formulário de login e ids inexistentes na página inicial."
suite_registro_usuario,structured_context,1,0,0,2,0,0,3,generated_test_failure,"Copia a notação label/id como seletor, omite gênero, confirmação, Continue e oráculo de autenticação."
user_registration_book_purchase,structured_context,2,0,1,2,0,0,5,generated_test_failure,"Mantém as etapas, mas copia tag/label/id/page.getByRole literalmente e não aguarda asserções web."
