spec_id,approach,execution_status,flow_correctness,target_correctness,assertion_correctness,graph_adherence,practical_robustness,overall_usefulness,total,failure_classification,justification
fluxo_computadores_desktops,baseline,failed,1,1,1,1,1,1,6,generated_test_failure,"Rota correta, mas inventa .digital-item e usa capitalização incorreta no título."
suite_adicionar_carrinho,baseline,failed,2,0,1,0,0,0,3,generated_test_failure,"Representa a sequência pedida, porém usa domínio e seletores data-test inventados."
suite_adicionar_wishlist,baseline,failed,2,0,1,0,0,0,3,generated_test_failure,"Representa a sequência, mas inventa autenticação, dashboard, rotas e seletores."
suite_busca_blue_jeans,baseline,failed,2,0,1,0,0,0,3,generated_test_failure,"Fluxo conceitual completo em domínio e elementos inexistentes."
suite_checkout_blue_jeans,baseline,failed,1,0,0,0,0,0,1,generated_test_failure,"Fluxo de checkout incompleto, domínio e controles inventados e asserções web não aguardadas."
suite_configurar_desktop,baseline,failed,2,1,1,1,0,0,5,generated_test_failure,"Segue o fluxo, mas inventa controles de configuração e regiões de confirmação/carrinho."
suite_detalhes_fiction,baseline,failed,2,0,1,0,0,0,3,generated_test_failure,"Intenção correta em domínio, rota e seletores inexistentes."
suite_limpar_carrinho,baseline,failed,2,0,1,0,0,0,3,generated_test_failure,"Sequência correta, mas rota de preparação e todos os controles principais são inventados."
suite_limpar_wishlist,baseline,failed,2,0,1,0,0,0,3,generated_test_failure,"Sequência correta, porém depende de função indefinida e inventa rota e controles."
suite_login_invalido,baseline,failed,2,1,2,2,1,1,9,generated_test_failure,"Campos e oráculo são adequados; botão de login não existe e o email não vem do ambiente."
suite_login_valido,baseline,failed,2,1,1,2,1,1,8,generated_test_failure,"Usa credenciais do ambiente e campos corretos; botão submit e id de logout estão errados."
suite_logout,baseline,failed,2,0,1,0,0,0,3,generated_test_failure,"Representa login e logout, mas toda a interface assumida é de outra aplicação."
suite_registro_usuario,baseline,failed,1,1,1,2,1,1,7,generated_test_failure,"Registro inicial é quase correto, mas troca Continue por Log out e tenta relogar na página errada."
user_registration_book_purchase,baseline,failed,2,1,0,2,0,0,5,generated_test_failure,"Cobre o fluxo nominal, mas usa submit incorreto, expectativa de rota falsa e duas asserções vazias."
fluxo_computadores_desktops,structured_context,passed,1,2,1,2,1,2,9,,"Navega e valida a página corretamente, mas não verifica explicitamente os itens digitais pedidos."
suite_adicionar_carrinho,structured_context,failed,1,2,1,2,2,1,9,generated_test_failure,"Busca com controles corretos, mas espera redirecionamento direto ao produto e não clica no resultado."
suite_adicionar_wishlist,structured_context,failed,1,1,2,2,1,1,8,generated_test_failure,"Locators principais são válidos, porém omite autenticação e o href do produto é ambíguo."
suite_busca_blue_jeans,structured_context,failed,2,1,2,1,1,1,8,generated_test_failure,"Fluxo inclui busca e abertura do resultado, mas inventa a classe product-list-item-name."
suite_checkout_blue_jeans,structured_context,failed,1,1,1,2,1,0,6,generated_test_failure,"Omite autenticação, espera redirecionamento direto da busca e inventa grande parte do checkout."
suite_configurar_desktop,structured_context,failed,1,1,1,2,1,0,6,generated_test_failure,"Navega às categorias, mas não abre um produto antes de procurar as opções de configuração."
suite_detalhes_fiction,structured_context,failed,1,1,1,2,1,1,7,generated_test_failure,"Busca corretamente, mas não abre o resultado e inventa o seletor de preço."
suite_limpar_carrinho,structured_context,failed,2,1,1,2,1,1,8,generated_test_failure,"Preparação e navegação estão corretas; nome de remoção e região de carrinho vazio foram inventados."
suite_limpar_wishlist,structured_context,failed,0,0,0,2,1,0,3,generated_test_failure,"Omite autenticação e preparação e não possui uma asserção que comprove wishlist vazia."
suite_login_invalido,structured_context,passed,1,2,2,2,2,1,10,,"Passa e valida a mensagem real, mas usa email inexistente e senha fixa em vez dos dados do ambiente."
suite_login_valido,structured_context,failed,2,1,1,2,1,1,8,generated_test_failure,"Locators e credenciais são adequados; uma asserção inventada sobre .title interrompe o fluxo."
suite_logout,structured_context,failed,0,0,1,1,1,0,3,generated_test_failure,"Ignora a pré-condição autenticada e procura o formulário de login diretamente na página inicial."
suite_registro_usuario,structured_context,failed,2,2,1,2,1,2,10,generated_test_failure,"Executa registro e Continue, mas expectativas de URL sem await falham após o encerramento da página."
user_registration_book_purchase,structured_context,failed,2,2,1,2,1,1,9,generated_test_failure,"Executa os principais controles reais, mas todas as expectativas web ficam sem await e o email é reutilizável."
