track,model,scenario,mutation_id,stratum,operator,repetition,execution_order,condition,approach,outcome,returncode,duration_seconds,error_type,artifacts_dir
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d8744bdb7fd5af84,E1,insert_noninteractive_sibling_before,1,B|A,A,baseline,passed_interacted,0,7.001,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d8744bdb7fd5af84-A-r1.artifacts
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d8744bdb7fd5af84,E1,insert_noninteractive_sibling_before,1,B|A,B,structured,passed_interacted,0,8.225,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d8744bdb7fd5af84-B-r1.artifacts
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d8744bdb7fd5af84,E1,insert_noninteractive_sibling_before,2,B|A,A,baseline,passed_interacted,0,6.976,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d8744bdb7fd5af84-A-r2.artifacts
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d8744bdb7fd5af84,E1,insert_noninteractive_sibling_before,2,B|A,B,structured,passed_interacted,0,8.686,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d8744bdb7fd5af84-B-r2.artifacts
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d8744bdb7fd5af84,E1,insert_noninteractive_sibling_before,3,B|A,A,baseline,passed_interacted,0,7.144,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d8744bdb7fd5af84-A-r3.artifacts
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d8744bdb7fd5af84,E1,insert_noninteractive_sibling_before,3,B|A,B,structured,passed_interacted,0,8.46,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d8744bdb7fd5af84-B-r3.artifacts
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d5cd8e90b29b1b31,E2,rename_id,1,A|B,A,baseline,passed_interacted,0,6.875,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d5cd8e90b29b1b31-A-r1.artifacts
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d5cd8e90b29b1b31,E2,rename_id,1,A|B,B,structured,passed_interacted,0,8.352,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d5cd8e90b29b1b31-B-r1.artifacts
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d5cd8e90b29b1b31,E2,rename_id,2,A|B,A,baseline,passed_interacted,0,6.83,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d5cd8e90b29b1b31-A-r2.artifacts
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d5cd8e90b29b1b31,E2,rename_id,2,A|B,B,structured,passed_interacted,0,8.439,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d5cd8e90b29b1b31-B-r2.artifacts
