$ docker compose run --rm prompt_e2e

 Container neo4j_graph  Running
 Container selenium_chrome  Running
[prompt-e2e] /app/specs/fluxo_computadores_desktops.txt [structured_context] -> /app/generated_prompts/fluxo_computadores_desktops.structured_context.prompt.md (1 etapas, 9 itens de contexto, 2295 caracteres)
[prompt-e2e] /app/specs/suite_adicionar_carrinho.txt [structured_context] -> /app/generated_prompts/suite_adicionar_carrinho.structured_context.prompt.md (6 etapas, 9 itens de contexto, 2382 caracteres)
[prompt-e2e] /app/specs/suite_adicionar_wishlist.txt [structured_context] -> /app/generated_prompts/suite_adicionar_wishlist.structured_context.prompt.md (7 etapas, 9 itens de contexto, 2475 caracteres)
[prompt-e2e] /app/specs/suite_busca_blue_jeans.txt [structured_context] -> /app/generated_prompts/suite_busca_blue_jeans.structured_context.prompt.md (4 etapas, 0 itens de contexto, 1030 caracteres)
[prompt-e2e] /app/specs/suite_checkout_blue_jeans.txt [structured_context] -> /app/generated_prompts/suite_checkout_blue_jeans.structured_context.prompt.md (12 etapas, 9 itens de contexto, 2828 caracteres)
[prompt-e2e] /app/specs/suite_configurar_desktop.txt [structured_context] -> /app/generated_prompts/suite_configurar_desktop.structured_context.prompt.md (7 etapas, 9 itens de contexto, 2489 caracteres)
[prompt-e2e] /app/specs/suite_detalhes_fiction.txt [structured_context] -> /app/generated_prompts/suite_detalhes_fiction.structured_context.prompt.md (4 etapas, 0 itens de contexto, 1035 caracteres)
[prompt-e2e] /app/specs/suite_limpar_carrinho.txt [structured_context] -> /app/generated_prompts/suite_limpar_carrinho.structured_context.prompt.md (5 etapas, 9 itens de contexto, 2266 caracteres)
[prompt-e2e] /app/specs/suite_limpar_wishlist.txt [structured_context] -> /app/generated_prompts/suite_limpar_wishlist.structured_context.prompt.md (6 etapas, 9 itens de contexto, 2379 caracteres)
[prompt-e2e] /app/specs/suite_login_invalido.txt [structured_context] -> /app/generated_prompts/suite_login_invalido.structured_context.prompt.md (4 etapas, 9 itens de contexto, 2218 caracteres)
[prompt-e2e] /app/specs/suite_login_valido.txt [structured_context] -> /app/generated_prompts/suite_login_valido.structured_context.prompt.md (4 etapas, 9 itens de contexto, 2160 caracteres)
[prompt-e2e] /app/specs/suite_logout.txt [structured_context] -> /app/generated_prompts/suite_logout.structured_context.prompt.md (4 etapas, 9 itens de contexto, 2072 caracteres)
[prompt-e2e] /app/specs/suite_registro_usuario.txt [structured_context] -> /app/generated_prompts/suite_registro_usuario.structured_context.prompt.md (8 etapas, 9 itens de contexto, 2453 caracteres)
[prompt-e2e] /app/specs/user_registration_book_purchase.txt [structured_context] -> /app/generated_prompts/user_registration_book_purchase.structured_context.prompt.md (21 etapas, 9 itens de contexto, 3453 caracteres)
