model_origin,round,condition,scenario,original_execution_status,original_semantic_score_6,original_file,specification_file,structured_prompt_file,repaired_file,repair_model,repair_attempt,stateless,temperature,seed,num_ctx,num_predict,elapsed_seconds_client,prompt_eval_count,eval_count,total_duration_ns,prompt_eval_duration_ns,eval_duration_ns,done_reason,original_sha256,repair_prompt_sha256,raw_response_sha256,repaired_sha256,original_lines,repaired_lines,lines_added,lines_deleted,line_similarity_ratio,collection_status,collection_returncode,collection_seconds,execution_status_after_repair,execution_seconds_client,playwright_duration_ms,failure_message_after_repair,failure_class_after_repair,semantic_total_after_repair,semantic_classification_after_repair,successful_repair
gemini-3.6-flash,gemini_new_20,baseline,fluxo_computadores_desktops,failed,5,/home/martinsspn/dissertacao_e2e_semantico/python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/fluxo_computadores_desktops.spec.ts,/home/martinsspn/openai_playwright_batch/inputs/demowebshop20-20260727-ready/baseline/fluxo_computadores_desktops.txt,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/repair_runs/qwen25coder_repair_20260728_01/gemini-3-6-flash/gemini_new_20/baseline/fluxo_computadores_desktops/fluxo_computadores_desktops.spec.ts,qwen2.5-coder:7b,1,True,0,20260728,16384,4096,17.921,709,296,18748186500,67677000,18297550000,stop,bc42ee9d7e1875c4017b2ce4c3c4252e0be0f7d90a747a31c31495b431abe757,7f26a85a5ca936a3242dcb29bde01ab410167a76b9e05892b1f2433afe5125a1,5cf6313fbfc560a69278d1e498d54acb8dc3046450c6e888226d7d1910712f9e,44661686d0404f8ac51146749ae839fe584768152177451e8ad0103e1f45e1a2,30,30,1,1,0.9667,collected,0,1.913,passed,8.933,5402.0,,passed,6,adequate,True
gemini-3.6-flash,gemini_new_20,baseline,suite_adicionar_dois_produtos_carrinho,failed,6,/home/martinsspn/dissertacao_e2e_semantico/python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_adicionar_dois_produtos_carrinho.spec.ts,/home/martinsspn/openai_playwright_batch/inputs/demowebshop20-20260727-ready/baseline/suite_adicionar_dois_produtos_carrinho.txt,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/repair_runs/qwen25coder_repair_20260728_01/gemini-3-6-flash/gemini_new_20/baseline/suite_adicionar_dois_produtos_carrinho/suite_adicionar_dois_produtos_carrinho.spec.ts,qwen2.5-coder:7b,1,True,0,20260728,16384,4096,50.567,1505,609,54338996300,12568386000,41322739000,stop,9c10b2b4b4a34e2b494130a661a259be7a38c9211f92a89d3345830132f8f11f,f6b4b82b9bbba6536a1d198f5d8968279dfcb695eb9f3e8144c4d34a8bdcb06c,b4e06239e3d50d35df6554b4d3440ed82c7aaa7a12ecb74735868f72e4d00a0c,f96d86cd06630438de487e9ceb7fc3ed0243d78edfd38322d7e89aae2d0b0231,52,50,6,8,0.8627,collected,0,1.944,failed,14.705,11185.0,"Error: [2mexpect([22m[31mlocator[39m[2m).[22mtoBeVisible[2m([22m[2m)[22m failed

Locator: locator('input[type=""button""][value=""Add to cart""]').filter({ hasText: 'Computing and Internet' })
Expected: visible
Timeout: 7000ms
Error: element(s) not found

Call log:
[2m  - Expect ""toBeVisible"" with timeout 7000ms[22m
[2m  - waiting for locator('input[type=""button""][value=""Add to cart""]').filter({ hasText: 'Computing and Internet' })[22m
",assertion_failure,,not_reviewed_execution_failed,False
gemini-3.6-flash,gemini_new_20,baseline,suite_atualizar_quantidade_carrinho,failed,5,/home/martinsspn/dissertacao_e2e_semantico/python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_atualizar_quantidade_carrinho.spec.ts,/home/martinsspn/openai_playwright_batch/inputs/demowebshop20-20260727-ready/baseline/suite_atualizar_quantidade_carrinho.txt,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/repair_runs/qwen25coder_repair_20260728_01/gemini-3-6-flash/gemini_new_20/baseline/suite_atualizar_quantidade_carrinho/suite_atualizar_quantidade_carrinho.spec.ts,qwen2.5-coder:7b,1,True,0,20260728,16384,4096,44.562,1011,599,47888812000,8104557000,39268106000,stop,00267b59bc46a3f171caea444f206ada6f2d11e0403cacdfbc9717ebe4281bdb,d3fe410eb5d782b90b8f98148fdaab4a8a25c7a8d5bb0b9fb13253711113b7b8,8104e4f0035ba469711b11b58c311e17423cf59764c3726a62145f6ee583e649,fa2eac3a87088cec064fa8b130ae9741ff1975ef030a369207912680353c422a,67,67,3,3,0.9552,collected,0,1.993,failed,17.291,13699.0,"TimeoutError: locator.fill: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for getByPlaceholder('Search store')[22m
",locator_timeout,,not_reviewed_execution_failed,False
gemini-3.6-flash,gemini_new_20,baseline,suite_busca_sem_resultados,failed,5,/home/martinsspn/dissertacao_e2e_semantico/python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_busca_sem_resultados.spec.ts,/home/martinsspn/openai_playwright_batch/inputs/demowebshop20-20260727-ready/baseline/suite_busca_sem_resultados.txt,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/repair_runs/qwen25coder_repair_20260728_01/gemini-3-6-flash/gemini_new_20/baseline/suite_busca_sem_resultados/suite_busca_sem_resultados.spec.ts,qwen2.5-coder:7b,1,True,0,20260728,16384,4096,23.01,811,279,24282057700,6477324000,17324400000,stop,e0eff4884425c91be25459db44370ec6acde3b7348d3ec1945d4053923a98c09,c61a9010e38885fbfac16ad219e256329ff8205facaff2735497ad3cd32b32f6,9259f44577a02e53bd9b8328cf5a72432c4f6264d1a7fdfbc4f0aea35bd78836,7e29bd3c46d222fb3926d38cb6bb43b8c45df410955112444a2647cfd85e0a14,42,35,3,10,0.8312,collected,0,2.105,failed,15.483,12003.0,"Error: [2mexpect([22m[31mlocator[39m[2m).[22mtoBeVisible[2m([22m[2m)[22m failed

Locator: locator('.no-result')
Expected: visible
Timeout: 7000ms
Error: element(s) not found

Call log:
[2m  - Expect ""toBeVisible"" with timeout 7000ms[22m
[2m  - waiting for locator('.no-result')[22m
",assertion_failure,,not_reviewed_execution_failed,False
gemini-3.6-flash,gemini_new_20,baseline,suite_cadastro_senha_curta,failed,5,/home/martinsspn/dissertacao_e2e_semantico/python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_cadastro_senha_curta.spec.ts,/home/martinsspn/openai_playwright_batch/inputs/demowebshop20-20260727-ready/baseline/suite_cadastro_senha_curta.txt,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/repair_runs/qwen25coder_repair_20260728_01/gemini-3-6-flash/gemini_new_20/baseline/suite_cadastro_senha_curta/suite_cadastro_senha_curta.spec.ts,qwen2.5-coder:7b,1,True,0,20260728,16384,4096,31.734,844,428,33777381500,6716269000,26616874000,stop,8b214e5dc1b27d0d22e93de4f18960c4fa040a9f94f45b061d884c221e9efa87,1d02184bb4203ebf837e4a4d89808ab3a60a7c5648ff2e8ccb453610470f0d9b,1e5b05111c8e7168a2e59fb22c3a66550038a6a81ebdcd97fc2e35d02d127135,6bbfacfa81c56bbf8d41873d86c7a296079bb2d9d396ba992855bcc218a34b22,39,39,1,1,0.9744,collected,0,2.062,failed,16.628,13155.0,"TimeoutError: locator.fill: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for getByLabel(/^password$/i).or(getByPlaceholder(/^password$/i))[22m
",locator_timeout,,not_reviewed_execution_failed,False
gemini-3.6-flash,gemini_new_20,baseline,suite_carrinho_inicialmente_vazio,failed,4,/home/martinsspn/dissertacao_e2e_semantico/python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_carrinho_inicialmente_vazio.spec.ts,/home/martinsspn/openai_playwright_batch/inputs/demowebshop20-20260727-ready/baseline/suite_carrinho_inicialmente_vazio.txt,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/repair_runs/qwen25coder_repair_20260728_01/gemini-3-6-flash/gemini_new_20/baseline/suite_carrinho_inicialmente_vazio/suite_carrinho_inicialmente_vazio.spec.ts,qwen2.5-coder:7b,1,True,0,20260728,16384,4096,17.819,656,228,18677352500,4589370000,13634506000,stop,ff0d0febba7bfaadbcc1ad3c50bf966918a05f23f8716a7e8221ac5fbee674dc,eda1161202b2d5a124353cdfcbfb4f5f9a5dea89fa0fcf2f5646f3fb68ae263a,0f83496599729d998b553c076465e74fd893c39c64b1348bba2f0670304b1f32,3d03755048b1878cf0d406fb444967d73630fc3254f6538e0914dcc3f4b0a804,22,22,1,1,0.9545,collected,0,2.042,failed,6.317,2826.0,"Error: [2mexpect([22m[31mlocator[39m[2m).[22mtoBeVisible[2m([22m[2m)[22m failed

Locator: getByText(/shopping cart is empty|your cart is empty|you have no items/i)
Expected: visible
Error: strict mode violation: getByText(/shopping cart is empty|your cart is empty|you have no items/i) resolved to 2 elements:
    1) <div class=""count"">↵You have no items in your shopping cart.        </div> aka getByText('You have no items in your')
    2) <div class=""order-summary-content"">↵    ↵    ↵Your Shopping Cart is empty!    ↵</div> aka getByText('Your Shopping Cart is empty!')

Call log:
[2m  - Expect ""toBeVisible"" with timeout 7000ms[22m
[2m  - waiting for getByText(/shopping cart is empty|your cart is empty|you have no items/i)[22m
",selector_ambiguity,,not_reviewed_execution_failed,False
gemini-3.6-flash,gemini_new_20,baseline,suite_exibir_quatro_livros,failed,6,/home/martinsspn/dissertacao_e2e_semantico/python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_exibir_quatro_livros.spec.ts,/home/martinsspn/openai_playwright_batch/inputs/demowebshop20-20260727-ready/baseline/suite_exibir_quatro_livros.txt,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/repair_runs/qwen25coder_repair_20260728_01/gemini-3-6-flash/gemini_new_20/baseline/suite_exibir_quatro_livros/suite_exibir_quatro_livros.spec.ts,qwen2.5-coder:7b,1,True,0,20260728,16384,4096,28.854,752,389,30673720600,6139179000,24101471000,stop,9e64bdc6b9bbc3de27e8e1db6579068f33d84958a463efa1592df283360f8a95,06695afc169c54e31567012d1ef122c09f7e335b91030e416cc0ed7c846de632,6126bd4770fe96661bca5b878b252fdc8bab78875d2fca32b287c3c47d77369d,9e64bdc6b9bbc3de27e8e1db6579068f33d84958a463efa1592df283360f8a95,46,46,0,0,1.0,collected,0,1.976,failed,8.73,5437.0,"Error: [2mexpect([22m[31mreceived[39m[2m).[22mtoBeLessThanOrEqual[2m([22m[32mexpected[39m[2m)[22m

Expected: <= [32m4[39m
Received:    [31m8[39m",assertion_failure,,not_reviewed_execution_failed,False
gemini-3.6-flash,gemini_new_20,baseline,suite_filtrar_livros_abaixo_25,syntax_error,4,/home/martinsspn/dissertacao_e2e_semantico/python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_filtrar_livros_abaixo_25.spec.ts,/home/martinsspn/openai_playwright_batch/inputs/demowebshop20-20260727-ready/baseline/suite_filtrar_livros_abaixo_25.txt,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/repair_runs/qwen25coder_repair_20260728_01/gemini-3-6-flash/gemini_new_20/baseline/suite_filtrar_livros_abaixo_25/suite_filtrar_livros_abaixo_25.spec.ts,qwen2.5-coder:7b,1,True,0,20260728,16384,4096,65.384,1375,855,70707841300,11763457000,58497035000,stop,7cbb718fe40d137b53b689250d808cd1c7e88515fa7a20681f80fad67d78e1ec,c169ed38b45c4909b37ac459572725121434f8c4b83219e02905f9b46ec569b8,9707f0e076fddd098f1b3e336f6912556357a8a7d0f8182b6d5bc2d1191119da,ebc5f406e20f1aa9cf9e965a993a1aaf0974a4c37d3caf27e03e99bbe0c88c32,109,105,2,6,0.9626,collection_error,1,1.95,not_executed,0.0,0.0,,collection_error,,not_reviewed_execution_failed,False
gemini-3.6-flash,gemini_new_20,baseline,suite_ordenar_livros_por_preco,failed,6,/home/martinsspn/dissertacao_e2e_semantico/python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_ordenar_livros_por_preco.spec.ts,/home/martinsspn/openai_playwright_batch/inputs/demowebshop20-20260727-ready/baseline/suite_ordenar_livros_por_preco.txt,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/repair_runs/qwen25coder_repair_20260728_01/gemini-3-6-flash/gemini_new_20/baseline/suite_ordenar_livros_por_preco/suite_ordenar_livros_por_preco.spec.ts,qwen2.5-coder:7b,1,True,0,20260728,16384,4096,31.146,841,423,33359065800,6703159000,26144997000,stop,886d918a7e7aa92b798873714a38dacaf67204253afc4afc7c843188911d473d,f41581572728ff5e5780d640830b3e7f8109a031edf2c7d640ee91770aed776c,7fa38e526e67199c3086130c28fcb7a7b180f55c7647d48db5b882fa18fce5d7,a1665c7dfd0e68218b094bc01e050e42de95733947121d1ec4bd392703d00148,48,48,1,1,0.9792,collected,0,2.004,failed,14.471,11117.0,"Error: [2mexpect([22m[31mlocator[39m[2m).[22mtoBeVisible[2m([22m[2m)[22m failed

Locator: locator('#product-sorter')
Expected: visible
Timeout: 7000ms
Error: element(s) not found

Call log:
[2m  - Expect ""toBeVisible"" with timeout 7000ms[22m
[2m  - waiting for locator('#product-sorter')[22m
",assertion_failure,,not_reviewed_execution_failed,False
gemini-3.6-flash,gemini_new_20,baseline,suite_persistencia_carrinho_apos_login,failed,6,/home/martinsspn/dissertacao_e2e_semantico/python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_persistencia_carrinho_apos_login.spec.ts,/home/martinsspn/openai_playwright_batch/inputs/demowebshop20-20260727-ready/baseline/suite_persistencia_carrinho_apos_login.txt,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/repair_runs/qwen25coder_repair_20260728_01/gemini-3-6-flash/gemini_new_20/baseline/suite_persistencia_carrinho_apos_login/suite_persistencia_carrinho_apos_login.spec.ts,qwen2.5-coder:7b,1,True,0,20260728,16384,4096,60.259,1228,817,65297940600,9318388000,55522157000,stop,3557c306244b36060091af1d954f7b678b7f428ee91d7f451ad7036c81c6816a,8c839a6c2cf6366d4b8c1601ffcfc109ee90a4ee2f53be868c1cdd4ae710e653,197aebebaf279c44c9ee32ee177125224f47ea89a373a0198e48985ac4df99f0,3557c306244b36060091af1d954f7b678b7f428ee91d7f451ad7036c81c6816a,87,87,0,0,1.0,collected,0,2.039,failed,18.551,15258.0,"TimeoutError: locator.fill: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for getByRole('textbox', { name: /Search store/i }).or(getByPlaceholder('Search store'))[22m
",locator_timeout,,not_reviewed_execution_failed,False
