model,round,scenario,condition,execution_status,flow_correctness,target_correctness,assertion_correctness,semantic_total_6,semantic_classification,source_file,review_note
gemini-3.6-flash,gemini_new_20,fluxo_computadores_desktops,baseline,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/fluxo_computadores_desktops.spec.ts,"Fluxo e oráculo completos, mas o domínio padrão é outra instalação nopCommerce."
gemini-3.6-flash,gemini_new_20,fluxo_computadores_desktops,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/fluxo_computadores_desktops.spec.ts,"Navega, valida página e comprova a existência de itens digitais."
gemini-3.6-flash,gemini_new_20,suite_adicionar_dois_produtos_carrinho,baseline,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_adicionar_dois_produtos_carrinho.spec.ts,"Adiciona os dois livros no mesmo teste e valida linhas, quantidade e preços."
gemini-3.6-flash,gemini_new_20,suite_adicionar_dois_produtos_carrinho,structured_context,passed,2,2,1,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_adicionar_dois_produtos_carrinho.spec.ts,"Adiciona e valida os dois produtos, mas não verifica quantidade e preço de cada linha."
gemini-3.6-flash,gemini_new_20,suite_atualizar_quantidade_carrinho,baseline,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_atualizar_quantidade_carrinho.spec.ts,Fluxo e cálculo completos; o domínio padrão é outra instalação nopCommerce.
gemini-3.6-flash,gemini_new_20,suite_atualizar_quantidade_carrinho,structured_context,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_atualizar_quantidade_carrinho.spec.ts,Atualiza quantidade e compara subtotal da linha com duas vezes o preço unitário.
gemini-3.6-flash,gemini_new_20,suite_busca_sem_resultados,baseline,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_busca_sem_resultados.spec.ts,"Usa termo único e valida a ausência de resultados, mas aponta por padrão para outra instalação."
gemini-3.6-flash,gemini_new_20,suite_busca_sem_resultados,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_busca_sem_resultados.spec.ts,Executa a busca real e valida a mensagem de ausência de produtos.
gemini-3.6-flash,gemini_new_20,suite_cadastro_campos_obrigatorios,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_cadastro_campos_obrigatorios.spec.ts,Valida as cinco ocorrências e distingue as duas mensagens iguais de senha.
gemini-3.6-flash,gemini_new_20,suite_cadastro_campos_obrigatorios,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_cadastro_campos_obrigatorios.spec.ts,"Valida permanência na página, cinco erros e os textos correspondentes."
