track,model,scenario,mutation_id,stratum,operator,control_valid,paired_applicable,invalid_reasons,baseline_robust_3_of_3,structured_robust_3_of_3,paired_result,baseline_outcomes,structured_outcomes
P,gemini-3.6-flash,suite_cadastro_campos_obrigatorios,mutation-eba9a88e12218532,E1,insert_wrapper,True,False,,False,False,nao_aplicavel,,
P,gemini-3.6-flash,suite_cadastro_campos_obrigatorios,mutation-f449b64a22b3eb79,E2,rename_id,True,False,,False,False,nao_aplicavel,,
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d8744bdb7fd5af84,E1,insert_noninteractive_sibling_before,True,True,,True,True,ambos,passed_interacted|passed_interacted|passed_interacted,passed_interacted|passed_interacted|passed_interacted
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d5cd8e90b29b1b31,E2,rename_id,True,True,,True,True,ambos,passed_interacted|passed_interacted|passed_interacted,passed_interacted|passed_interacted|passed_interacted
P,gemini-3.6-flash,suite_navegar_categoria_livros,mutation-8abd56080bd4efa1,E1,insert_noninteractive_sibling_before,False,False,mutated_control_failed|mutated_target_not_interacted|mutation_not_applied|original_control_failed|original_target_not_interacted|original_target_not_marked,False,False,nao_aplicavel,,
P,gemini-3.6-flash,suite_navegar_categoria_livros,mutation-e0bcb5d5196386aa,E1,insert_wrapper,False,False,mutated_control_failed|mutated_target_not_interacted|mutation_not_applied|original_control_failed|original_target_not_interacted|original_target_not_marked,False,False,nao_aplicavel,,
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-f026cc4f906a76d1,E1,insert_noninteractive_sibling_before,True,True,,True,True,ambos,passed_interacted|passed_interacted|passed_interacted,passed_interacted|passed_interacted|passed_interacted
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-8b066797110a117f,E2,input_submit_to_button,True,True,,False,True,somente_estruturado,locator_not_found|locator_not_found|locator_not_found,passed_interacted|passed_interacted|passed_interacted
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-b745f8523a2ad8e7,E1,insert_noninteractive_sibling_before,True,True,,True,True,ambos,passed_interacted|passed_interacted|passed_interacted,passed_interacted|passed_interacted|passed_interacted
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-361a9103a5072567,E2,input_submit_to_button,True,True,,False,True,somente_estruturado,locator_not_found|locator_not_found|locator_not_found,passed_interacted|passed_interacted|passed_interacted
P,gpt-5.6-sol,suite_login_invalido,mutation-5fdf1828cabd53de,E1,insert_wrapper,True,True,,True,True,ambos,passed_interacted|passed_interacted|passed_interacted,passed_interacted|passed_interacted|passed_interacted
P,gpt-5.6-sol,suite_login_invalido,mutation-439ad347e64028d4,E2,rename_id,True,True,,False,True,somente_estruturado,locator_not_found|locator_not_found|locator_not_found,passed_interacted|passed_interacted|passed_interacted
P,gpt-5.6-sol,suite_login_valido,mutation-ac2305bb5ac9e7a3,E1,insert_noninteractive_sibling_before,True,True,,True,True,ambos,passed_interacted|passed_interacted|passed_interacted,passed_interacted|passed_interacted|passed_interacted
P,gpt-5.6-sol,suite_login_valido,mutation-01c92a29170fe542,E2,input_submit_to_button,True,True,,False,True,somente_estruturado,locator_not_found|locator_not_found|locator_not_found,passed_interacted|passed_interacted|passed_interacted
R,gemini-3.6-flash,fluxo_computadores_desktops,mutation-3eaa4cad6dfee398,E1,insert_noninteractive_sibling_before,False,False,mutated_control_failed|mutated_target_not_interacted|mutation_not_applied|original_control_failed|original_target_not_interacted|original_target_not_marked,False,False,nao_aplicavel,,
R,gemini-3.6-flash,fluxo_computadores_desktops,mutation-970dfe4afdc63621,E1,insert_wrapper,False,False,mutated_control_failed|mutated_target_not_interacted|mutation_not_applied|original_control_failed|original_target_not_interacted|original_target_not_marked,False,False,nao_aplicavel,,
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-5b72726c4f561716,E1,insert_noninteractive_sibling_before,True,True,,True,True,ambos,passed_interacted|passed_interacted|passed_interacted,passed_interacted|passed_interacted|passed_interacted
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-d20cb5bb3f6fd31b,E1,insert_wrapper,True,True,,True,True,ambos,passed_interacted|passed_interacted|passed_interacted,passed_interacted|passed_interacted|passed_interacted
R,gpt-5.6-sol,suite_adicionar_carrinho,mutation-defa59a332c6148b,E1,insert_noninteractive_sibling_before,True,True,,True,True,ambos,passed_interacted|passed_interacted|passed_interacted,passed_interacted|passed_interacted|passed_interacted
R,gpt-5.6-sol,suite_adicionar_carrinho,mutation-766d2310c5144a4d,E2,input_submit_to_button,True,True,,False,True,somente_estruturado,locator_not_found|locator_not_found|locator_not_found,passed_interacted|passed_interacted|passed_interacted
